2023-12-07 10:37:24 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:ran code formatter
2023-12-07 10:37:35 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testParsingWithoutRecordBreaksButTrailingSpaces'}=TestCaseResult{TestState='PASS', usageTime='1908'}}
2023-12-07 10:37:35 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:37:35 [main] INFO  org.regminer.miner.BFCEvaluator - 8b92871461c5e4a5d05e608320cd929f55e270fb checkout 
2023-12-07 10:37:35 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #343 from cfranzen/feature/2.8.2-patch
2023-12-07 10:37:51 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testParsingWithoutRecordBreaksButTrailingSpaces'}=TestCaseResult{TestState='NOTEST', usageTime='1887'}, TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testBitsAreNotDiscardedWhenParsing'}=TestCaseResult{TestState='PASS', usageTime='1903'}}
2023-12-07 10:37:51 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:37:51 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:25
2023-12-07 10:37:51 [main] INFO  org.regminer.miner.BFCEvaluator - 50284000653f3b01833be6b17709f9c3c7177c84 checkout 
2023-12-07 10:37:51 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:FixedWidthParser drops first char of next record if last field of current record is empty
2023-12-07 10:38:05 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testParsingWithoutRecordBreaksButTrailingSpaces'}=TestCaseResult{TestState='FAL', usageTime='1942'}, TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testBitsAreNotDiscardedWhenParsing'}=TestCaseResult{TestState='PASS', usageTime='1850'}}
2023-12-07 10:38:05 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
