"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"libgdx/libgdx","https://github.com/libgdx/libgdx.git","14639","libgdx/libgdx","6270","1095133","false"
"alibaba/spring-cloud-alibaba","https://github.com/alibaba/spring-cloud-alibaba.git","1746","alibaba/spring-cloud-alibaba","1697","6455","true"
"square/picasso","https://github.com/square/picasso.git","1368","square/picasso","1985","4467","true"
"xuxueli/xxl-job","https://github.com/xuxueli/xxl-job.git","1674","xuxueli/xxl-job","1814","32371","true"
"Baseflow/PhotoView","https://github.com/Baseflow/PhotoView.git","462","Baseflow/PhotoView","609","16896","true"
"google/ExoPlayer","https://github.com/google/ExoPlayer.git","10741","google/ExoPlayer","8318","131697","false"
"jenkinsci/jenkins","https://github.com/jenkinsci/jenkins.git","31110","jenkinsci/jenkins","5332","126878","false"
"didi/DoraemonKit","https://github.com/didi/DoraemonKit.git","1630","didi/DoraemonKit","689","54322","true"
"alibaba/nacos","https://github.com/alibaba/nacos.git","3046","alibaba/nacos","5068","39527","true"
"nostra13/Android-Universal-Image-Loader","https://github.com/nostra13/Android-Universal-Image-Loader.git","1038","nostra13/Android-Universal-Image-Loader","919","27128","true"
"facebook/fresco","https://github.com/facebook/fresco.git","2884","facebook/fresco","2425","72461","true"
"apache/skywalking","https://github.com/apache/skywalking.git","6402","apache/skywalking","6674","158826","false"
"bazelbuild/bazel","https://github.com/bazelbuild/bazel.git","29345","bazelbuild/bazel","10735","761985","false"
"redisson/redisson","https://github.com/redisson/redisson.git","6457","redisson/redisson","3345","17461","true"
"CarGuo/GSYVideoPlayer","https://github.com/CarGuo/GSYVideoPlayer.git","1242","CarGuo/GSYVideoPlayer","3055","357390","false"
"shuzheng/zheng","https://github.com/shuzheng/zheng.git","1241","shuzheng/zheng","144","41258","true"
"apache/flink","https://github.com/apache/flink.git","26623","apache/flink","15082","369269","false"
"Tencent/tinker","https://github.com/Tencent/tinker.git","688","Tencent/tinker","1168","6506","true"
"alibaba/Sentinel","https://github.com/alibaba/Sentinel.git","688","alibaba/Sentinel","1784","7101","true"
"linlinjava/litemall","https://github.com/linlinjava/litemall.git","1115","linlinjava/litemall","435","24447","true"
"mybatis/mybatis-3","https://github.com/mybatis/mybatis-3.git","3718","mybatis/mybatis-3","2053","106833","false"
"forezp/SpringCloudLearning","https://github.com/forezp/SpringCloudLearning.git","72","forezp/SpringCloudLearning","14","582","false"
